,brand,seg,model,YM,title,sold
108,528,RU2,2665,201112,Forester,23
109,399,RU2,2574,201112,Freelander2,17
110,307,RU3,2078,201112,쏘렌토 R,3644
111,303,RU3,1967,201112,싼타페 (CM),2396
112,321,RU3,2163,201112,QM5,548
113,312,RU3,2155,201112,캡티바,313
114,349,RU3,2397,201112,GLK-Class,134
115,500,RU3,3056,201112,CR-V,120
116,528,RU3,2670,201112,Outback,56
117,486,RU3,2234,201112,RX,54
118,362,RU3,2371,201112,X3,53
119,399,RU3,2576,201112,Discovery,52
120,371,RU3,2425,201112,Q5,41
121,381,RU3,2639,201112,Cayenne,31
122,459,RU3,2556,201112,XC70,25
123,399,RU3,2582,201112,RANGE ROVER SPORT,21
124,459,RU3,2554,201112,XC60,19
125,514,RU3,2303,201112,MURANO,12
126,514,RU3,2306,201112,ROGUE,9
127,546,RU3,2508,201112,SRX,9
128,509,RU3,2286,201112,EX,7
129,326,RU3,2004,201112,뉴 카이런,6
130,509,RU3,2289,201112,FX,1
131,307,RU5,2032,201112,모하비,863
132,326,RU5,2058,201112,슈퍼 렉스턴,722
133,303,RU5,2001,201112,베라크루즈,706
134,587,RU5,2465,201112,Grand Cherokee,67
135,573,RU5,2497,201112,MKX,64
136,569,RU5,2943,201112,EXPLORER,61
137,362,RU5,2377,201112,X6,43
138,362,RU5,2374,201112,X5,41
139,399,RU5,2585,201112,THE RANGE ROVER,39
140,349,RU5,2826,201112,M-Class,29
141,371,RU5,2428,201112,Q7,20
142,376,RU5,2340,201112,Touareg,12
143,459,RU5,2559,201112,XC90,6
144,546,RU5,2511,201112,Escalade,3
145,509,RU5,2291,201112,QX,2
146,307,RM~,2109,201112,카니발 R,2469
147,312,RM~,2140,201112,올란도,2143
148,307,RM~,1984,201112,뉴 카렌스,358
149,326,RM~,2018,201112,뉴 로디우스,213
150,413,RM~,2531,201112,3008,34
151,583,RM~,2462,201112,Grand Voyager,3
152,303,O~,1901,201112,포터2,8371
153,303,O~,2009,201112,스타렉스,5164
154,307,O~,1907,201112,봉고3 트럭,4308
155,326,O~,1986,201112,액티언 스포츠,657
156,316,O~,2049,201112,다마스,539
157,316,O~,2052,201112,라보,378
